"date","vaccine_series_completed_percent_population","zip_code"
2021-01-04,0,"Non-Protect Chicago Plus"
2021-01-05,0,"Non-Protect Chicago Plus"
2021-01-06,0.001,"Non-Protect Chicago Plus"
2021-01-07,0.002,"Non-Protect Chicago Plus"
2021-01-08,0.005,"Non-Protect Chicago Plus"
2021-01-09,0.006,"Non-Protect Chicago Plus"
2021-01-10,0.006,"Non-Protect Chicago Plus"
2021-01-11,0.008,"Non-Protect Chicago Plus"
2021-01-12,0.009,"Non-Protect Chicago Plus"
2021-01-13,0.01,"Non-Protect Chicago Plus"
2021-01-14,0.011,"Non-Protect Chicago Plus"
2021-01-15,0.011,"Non-Protect Chicago Plus"
2021-01-16,0.011,"Non-Protect Chicago Plus"
2021-01-17,0.012,"Non-Protect Chicago Plus"
2021-01-18,0.012,"Non-Protect Chicago Plus"
2021-01-19,0.013,"Non-Protect Chicago Plus"
2021-01-20,0.014,"Non-Protect Chicago Plus"
2021-01-21,0.015,"Non-Protect Chicago Plus"
2021-01-22,0.016,"Non-Protect Chicago Plus"
2021-01-23,0.016,"Non-Protect Chicago Plus"
2021-01-24,0.016,"Non-Protect Chicago Plus"
2021-01-25,0.017,"Non-Protect Chicago Plus"
2021-01-26,0.018,"Non-Protect Chicago Plus"
2021-01-27,0.02,"Non-Protect Chicago Plus"
2021-01-28,0.021,"Non-Protect Chicago Plus"
2021-01-29,0.021,"Non-Protect Chicago Plus"
2021-01-30,0.022,"Non-Protect Chicago Plus"
2021-01-31,0.022,"Non-Protect Chicago Plus"
2021-02-01,0.023,"Non-Protect Chicago Plus"
2021-02-02,0.024,"Non-Protect Chicago Plus"
2021-02-03,0.026,"Non-Protect Chicago Plus"
2021-02-04,0.027,"Non-Protect Chicago Plus"
2021-02-05,0.029,"Non-Protect Chicago Plus"
2021-02-06,0.03,"Non-Protect Chicago Plus"
2021-02-07,0.03,"Non-Protect Chicago Plus"
2021-02-08,0.031,"Non-Protect Chicago Plus"
2021-02-09,0.033,"Non-Protect Chicago Plus"
2021-02-10,0.035,"Non-Protect Chicago Plus"
2021-02-11,0.039,"Non-Protect Chicago Plus"
2021-02-12,0.042,"Non-Protect Chicago Plus"
2021-02-13,0.043,"Non-Protect Chicago Plus"
2021-02-14,0.044,"Non-Protect Chicago Plus"
2021-02-15,0.045,"Non-Protect Chicago Plus"
2021-02-16,0.046,"Non-Protect Chicago Plus"
